episode,ticks,epsilon,loss,total_ticks
106,126,0.20226838571130318,12983876.892857144,8090
107,69,0.19949597835165625,13356314.695652174,8159
108,43,0.19778749907606152,14296191.627906976,8202
109,42,0.1961328777558546,13612890.19047619,8244
110,116,0.19163452778593676,14384352.439655172,8360
111,48,0.18980345641255564,14144847.354166666,8408
112,36,0.1884416437497793,14404893.75,8444
113,40,0.18693997511215374,13579573.675,8484
114,35,0.18563583468524114,15306520.742857143,8519
115,51,0.183751785746176,14600339.725490196,8570
116,32,0.1825794126721195,13090103.640625,8602
117,36,0.1812694314903294,14071229.805555556,8638
118,47,0.17957331346191002,13778965.872340426,8685
119,35,0.17832056472510383,12718846.085714286,8720
120,36,0.17704114016842848,12844412.805555556,8756
121,217,0.1695211665317196,12303520.847926266,8973
122,60,0.1674988683557824,11066514.925,9033
123,49,0.16586523396135056,11143855.857142856,9082
124,43,0.164444767658691,11095562.441860465,9125
125,41,0.16310170035502522,10245008.365853658,9166
126,44,0.16167255991466062,10494750.761363637,9210
127,44,0.1602559419826074,10549902.397727273,9254
128,73,0.15793297187436953,10210068.767123288,9327
129,37,0.1567684654164236,10186735.932432432,9364
130,42,0.15545699504329155,9730033.702380951,9406
131,46,0.15403320777031182,9939465.923913043,9452
132,38,0.15286687642783417,9978273.30263158,9490
133,42,0.15158804538910575,9590380.214285715,9532
134,40,0.15038005861362405,10040482.7375,9572
135,44,0.14906238857878487,10267610.090909092,9616
136,43,0.1477858214832388,9796133.802325582,9659
137,55,0.1461689249879119,9981565.690909091,9714
138,67,0.14422313273382717,9561666.985074626,9781
139,48,0.14284507809628685,9852863.239583334,9829
140,45,0.14156511287673706,10110157.7,9874
141,48,0.1402124556669279,10666412.697916666,9922
142,55,0.13867841792302463,10204465.627272727,9977
143,48,0.13735334313562378,9987768.958333334,10025
144,43,0.13617705205386965,10604555.430232558,10068
145,39,0.1351188973973919,10406500.717948718,10107
146,46,0.13388138109006914,7692265.054347826,10153
147,44,0.1327082768519699,7927895.3522727275,10197
148,42,0.13159808563527048,7475898.095238095,10239
149,48,0.13034066355073012,7475598.65625,10287
150,39,0.1293278601599647,7763785.58974359,10326
151,42,0.12824594833178032,7622824.107142857,10368
152,53,0.1268935862217872,7779127.424528302,10421
153,51,0.1256057221253928,7500800.107843137,10472
154,59,0.12413213848466967,8381028.101694915,10531
155,45,0.12301985080905505,7942342.077777778,10576
156,79,0.12109122060124652,7884879.0,10655
157,45,0.12000618111071576,7680060.1,10700
158,40,0.1190498663869148,7611038.4875,10740
159,43,0.11803032588707661,7519123.0930232555,10783
160,43,0.11701951671019037,7654741.441860465,10826
161,69,0.11541557960351516,7621654.405797102,10895
162,41,0.11447294765781015,8666990.097560976,10936
163,40,0.1135607266012875,8592122.725,10976
164,39,0.11267831058600604,9304308.384615384,11015
165,36,0.11186985981763466,9961679.458333334,11051
166,40,0.11097838245286078,10884076.5125,11091
167,63,0.10958868931421208,6242966.984126984,11154
168,46,0.1085849970643738,5320320.777173913,11200
169,43,0.10765507748074198,5404597.238372093,11243
170,43,0.10673312170845983,5355994.953488372,11286
171,44,0.1057978977333088,5730443.170454546,11330
172,41,0.10493381613761402,5372905.109756097,11371
173,50,0.10388960331820131,5522064.1,11421
174,46,0.10293810740797758,5781894.260869565,11467
175,39,0.10213823374321596,6078508.076923077,11506
176,44,0.10124327139743955,6509021.954545454,11550
177,45,0.10033607971936993,6327693.588888889,11595
178,42,0.09949670302738897,6500743.726190476,11637
179,47,0.09856572337800422,6754008.489361702,11684
180,44,0.0977020643173894,8031372.9772727275,11728
181,40,0.09692348839915174,7313513.6,11768
182,62,0.09572893919680317,8027382.854838709,11830
183,53,0.09471947112483979,8749190.62264151,11883
184,42,0.09392708102387785,9288471.916666666,11925
185,63,0.09275090763634786,8864360.206349207,11988
186,48,0.09186467103905915,9274615.822916666,12036
187,40,0.09113261260091306,10211057.0375,12076
188,53,0.09017161310058329,9085729.783018868,12129
189,126,0.08792745913873862,46976401.428571425,12255
190,122,0.08580778239103765,50666615.50819672,12377
191,172,0.08290590299181429,94303770.02325581,12549
192,40,0.08224523589127603,151158542.8,12589
193,55,0.08134540644664277,172600335.70909092,12644
194,40,0.08069717475408746,189620661.2,12684
195,43,0.08000608588199314,199736849.8604651,12727
196,52,0.07917825200112866,220632431.3846154,12779
197,61,0.07821805044372002,224345465.18032786,12840
198,40,0.0775947402724104,231409502.0,12880
199,42,0.07694560970455147,234855608.3809524,12922
200,50,0.07617991190561078,194875488.64,12972
201,39,0.07558796100568164,126470946.46153846,13011
202,46,0.07489567194631577,3091760673.3913045,13057
203,44,0.07423941616630994,26277654621.090908,13101
204,34,0.07373625052039065,43638096594.82353,13135
205,38,0.07317792351218501,39160856953.26316,13173
206,47,0.07249320577279096,30383980369.70213,13220
207,37,0.07195868277054686,20987638424.216217,13257
208,37,0.07142810103199612,14075280716.108109,13294
209,40,0.07085889914524478,9963799884.8,13334
210,39,0.07030829481835882,6686150157.128205,13373
211,34,0.0698317727711418,4498922563.764706,13407
212,35,0.06934460870738719,3089200811.885714,13442
213,50,0.06865454965841056,1956377884.16,13492
214,66,0.067754175109196,1632290484.3636363,13558
215,34,0.06729496388363651,1472065624.4705882,13592
216,37,0.06679876971278235,1402299561.5135136,13629
217,32,0.06637258022747548,1529275418.0,13661
218,47,0.06575153933276436,1456354606.2978723,13708
219,33,0.06531896498005556,1562837313.939394,13741
220,43,0.06475957476630893,1518057967.627907,13784
221,35,0.06430779563543147,1442998937.6,13819
222,33,0.06388471956218034,1568737417.6969697,13852
223,64,0.0630721255868161,1477763647.0,13916
224,39,0.06258202786200091,1430761562.2564104,13955
225,53,0.061922096188930374,1478378650.5660377,14008
226,79,0.06095131932279547,1571341444.050633,14087
227,61,0.060212157365304574,1760030409.442623,14148
228,62,0.059470062897385705,1635164684.387097,14210
229,75,0.05858458112050356,1623274733.2266667,14285
230,73,0.05773537559924224,1651340512.4383562,14358
231,98,0.056614668968987966,1501512047.6734693,14456
232,94,0.05556015126548305,1443678479.6595745,14550
233,115,0.054296726525256946,1405261276.9391305,14665
234,104,0.05317890844088232,1382515012.3076923,14769
235,129,0.051824306647983646,1341366705.1162791,14898
236,42,0.051390762550984286,1185490439.6190476,14940
237,56,0.05081834031510876,1240597930.2857144,14996
238,37,0.05044363524385794,32055748666.81081,15033
239,34,0.05010174806827541,129155959386.35294,15067
240,31,0.04979204732362694,160577334106.8387,15098
241,32,0.04947436412208783,155371948800.0,15130
242,30,0.04917837718653082,96031856503.46666,15160
243,47,0.04871822054859857,41541647163.914894,15207
244,31,0.0484170719906423,14429053225.290323,15238
245,39,0.048040850377623005,14731700460.307692,15277
246,41,0.04764848705526784,15532425166.04878,15318
247,39,0.047278237679978796,15147409381.74359,15357
248,41,0.04689210283296008,14808933301.073172,15398
249,65,0.046286390583783824,14417972854.153847,15463
250,65,0.04568850240959321,13873751229.046154,15528
251,136,0.044462403080644385,12388826819.764706,15664
252,171,0.042967350518367246,10513148586.666666,15835
253,70,0.04236993950377655,9138732551.314285,15905
254,118,0.04138161816332569,8118502369.627119,16023
255,71,0.040798093661081385,7334924172.619719,16094
256,44,0.040440609922935675,1784859666.909091,16138
257,31,0.040190628884547476,857076083.6129032,16169
258,35,0.03991024891830464,798461491.2,16204
259,37,0.039615973808731164,782095780.3243244,16241
260,33,0.03935534334439311,775296510.060606,16274
261,34,0.03908860826245365,749954330.3529412,16308
262,35,0.03881591627008425,740385120.9142857,16343
263,30,0.038583694910366145,719105518.9333333,16373
264,34,0.038322189758870355,690823911.5294118,16407
265,34,0.038062456986728534,693855446.5882353,16441
266,30,0.037834743296958386,659391338.6666666,16471
267,34,0.03757831424575788,672934319.0588236,16505
268,31,0.037346026304652814,627453592.7741935,16536
269,38,0.03706324415899328,619564187.7894737,16574
270,37,0.036789961217101284,586518265.081081,16611
271,33,0.03654792287364704,594839177.6969697,16644
272,31,0.03632200423077058,594382580.6451613,16675
273,36,0.03606139904352167,547608898.6666666,16711
274,45,0.035738270398424796,544900839.8222222,16756
275,54,0.03535433566315049,524371485.037037,16810
276,32,0.03512876794409774,520926077.0,16842
277,37,0.034869748711792506,497088168.6486486,16879
278,43,0.03457112493244855,495921666.23255813,16922
279,31,0.03435742573935204,479106964.6451613,16953
280,33,0.0341313908609179,463756070.7878788,16986
281,41,0.033852630060275835,452559928.19512194,17027
282,38,0.03359629972712146,442562227.3684211,17065
283,47,0.033281942865146144,382017559.14893615,17112
284,32,0.03306959742584094,211822729.0,17144
285,53,0.03272087630729352,216379144.6037736,17197
286,30,0.03252511933135674,220846011.2,17227
287,31,0.03232406739075431,204006632.77419356,17258
288,36,0.03209214682873101,202768784.44444445,17294
289,34,0.03187463884413367,197196532.70588234,17328
290,43,0.031601665121393896,216659543.25581396,17371
291,34,0.031387481429440936,193159940.2352941,17405
292,30,0.031199701664950633,190556496.53333333,17435
293,36,0.03097584826625477,197298508.44444445,17471
294,38,0.03074130077343986,180756414.7368421,17509
295,35,0.030526841703941893,190332089.6,17544
296,29,0.030350280886766605,176699437.24137932,17573
297,31,0.030162672570623373,186811763.3548387,17604
298,30,0.029982220387339976,176890557.06666666,17634
299,38,0.029755196592529634,168080820.42105263,17672
300,32,0.029565352498461747,171037994.0,17704
301,30,0.029388473861616856,181279034.4,17734
302,40,0.029154280672534574,174921906.0,17774
303,32,0.028968270541992608,171290690.0,17806
304,36,0.028760427342567046,168039482.44444445,17842
305,30,0.028588364277068512,162575277.33333334,17872
306,31,0.028411647135526383,171214405.41935483,17903
307,34,0.028219084134349842,166271084.0,17937
308,31,0.028044649674342653,174887746.32258064,17968
309,32,0.02786571921107649,160499400.25,18000
310,31,0.02769346905369526,163311936.51612905,18031
311,39,0.027478278808413713,160086250.66666666,18070
312,30,0.027313886366323634,153915662.66666666,18100
313,31,0.02714504732830512,189185300.9032258,18131
314,31,0.02697725195797917,182208877.41935483,18162
315,30,0.02681585697537591,181631143.46666667,18192
316,38,0.026612808717675424,174052300.21052632,18230
317,39,0.02640601567110969,178395609.84615386,18269
318,30,0.02624803818524498,169837742.13333333,18299
319,30,0.0260910058206114,180469049.6,18329
320,34,0.025914171216106924,168433476.94117647,18363
321,31,0.02575398442758131,174124945.80645162,18394
322,34,0.025579434021898287,163975470.11764705,18428
323,33,0.025411148880181977,166708111.5151515,18461
324,41,0.02520360878209635,160634159.02439025,18502
325,41,0.024997763723165242,162514801.5609756,18543
326,30,0.02484821129108264,160728482.4,18573
327,30,0.02469955357623113,165821053.33333334,18603
328,48,0.024463548895805022,156804575.16666666,18651
329,31,0.024312329036181544,151014811.87096775,18682
330,34,0.024147549605321138,157205776.2352941,18716
331,38,0.02396470563059384,156948217.68421054,18754
332,29,0.023826098825129375,149999337.10344827,18783
333,37,0.023650418942580267,152828031.56756756,18820
334,31,0.023504225393648916,142127337.03225806,18851
335,36,0.023335585936945617,149116950.8888889,18887
336,57,0.02307104455339398,143813262.17543858,18944
337,30,0.022933018973911902,135518898.4,18974
